time_s	ch1	ch2	ch3
2.588000	1.352783	1.278809	1.297119
2.589000	1.322754	1.221680	1.291260
2.590000	1.311035	1.518311	1.309570
2.590000	1.289795	1.341797	1.294189
2.591000	1.323486	1.275146	1.307373
2.591000	1.307373	1.296387	1.289062
2.592000	1.325684	1.341797	1.318359
2.593000	1.321289	1.297852	1.306641
2.593000	1.326416	1.384277	1.298584
2.594000	1.313965	1.341797	1.281738
2.595000	1.313232	1.262695	1.276611
2.596000	1.310303	1.357178	1.284668
2.596000	1.309570	1.327148	1.341064
2.597000	1.288330	1.127197	1.323486
2.597000	1.304443	1.318359	1.259766
2.598000	1.297852	1.352051	1.275879
2.599000	1.245117	1.327148	1.296387
2.600000	1.319824	1.297119	1.276611
2.600000	1.308105	1.330078	1.289062
2.600000	1.316162	1.350586	1.311768
2.601000	1.271484	1.373291	1.294189
2.602000	1.321289	1.280273	1.380615
2.602000	1.309570	1.259033	1.306641
2.603000	1.308105	1.339600	1.414307
2.604000	1.300049	1.297119	1.296387
2.642000	1.322754	1.264893	1.280273
2.642000	1.305908	1.417969	1.346191
2.643000	1.322021	1.313965	1.290527
2.643000	1.300049	1.245850	1.287598
2.644000	1.300781	1.346191	1.315430
2.644000	1.322754	1.363037	1.341797
2.645000	1.281738	1.259033	1.315430
2.645000	1.317627	1.331543	1.322754
2.646000	1.326416	1.385742	1.302979
2.646000	1.299316	1.331543	1.305176
2.647000	1.286865	1.283203	1.316895
2.647000	1.310303	1.264160	1.313965
2.648000	1.335205	1.305908	1.300049
2.648000	1.297852	1.380615	1.289795
2.648000	1.308838	1.319092	1.315430
2.649000	1.356445	1.300781	1.251709
2.649000	1.283203	1.158691	1.298584
2.650000	1.303711	1.323486	1.343994
2.650000	1.300049	1.344727	1.288330
2.651000	1.314697	1.360107	1.461914
2.651000	1.316162	1.404785	1.340332
2.652000	1.304443	1.338867	1.316162
2.652000	1.305908	1.297119	1.289795
2.653000	1.313965	1.270752	1.298584
2.653000	1.315430	1.298584	1.259033
2.687000	1.317627	1.401855	1.312500
2.688000	1.305176	1.393066	1.303711
2.689000	1.297119	1.289062	1.254639
2.689000	1.307373	1.270020	1.324951
2.690000	1.316895	1.346924	1.297119
2.690000	1.311768	1.294922	1.282471
2.692000	1.317627	1.262695	1.304443
2.693000	1.332275	1.368896	1.309570
2.693000	1.311768	1.323486	1.323486
2.694000	1.317627	1.339600	1.317627
2.694000	1.313232	1.314697	1.294922
2.694000	1.311768	1.313965	1.288330
2.696000	1.306641	1.319824	1.302246
2.696000	1.319092	1.283203	1.252441
2.697000	1.322754	1.370361	1.320557
2.702000	1.310303	1.365967	1.290527
2.703000	1.322021	1.237061	1.304443
2.703000	1.328613	1.297119	1.306641
2.704000	1.306641	1.444336	1.303711
2.704000	1.324951	1.454590	1.346924
2.705000	1.289062	1.198242	1.302979
2.705000	1.309570	1.166748	1.255371
2.705000	1.308838	1.283203	1.231201
2.706000	1.372559	1.370361	1.399658
2.706000	1.304443	1.326416	1.300049
2.738000	1.283936	1.358643	1.335938
2.739000	1.346191	1.307373	1.329346
2.739000	1.372559	1.281006	1.261963
2.740000	1.316162	1.405518	1.298584
2.740000	1.297852	1.331543	1.307373
2.741000	1.305176	1.149170	1.313965
2.742000	1.309570	1.308105	1.303711
2.742000	1.303711	1.406250	1.270020
2.743000	1.300049	1.300049	1.294189
2.744000	1.323486	1.341797	1.335938
2.744000	1.286133	1.316895	1.315430
2.745000	1.322754	1.279541	1.315430
2.745000	1.319092	1.302979	1.297852
2.746000	1.281006	1.472900	1.303711
2.747000	1.293457	1.339600	1.272217
2.747000	1.306641	1.275146	1.321289
2.747000	1.337402	1.363037	1.360107
2.748000	1.309570	1.365234	1.346191
2.749000	1.303711	1.275879	1.259766
2.749000	1.314697	1.272217	1.300781
2.750000	1.308105	1.365234	1.288330
2.750000	1.305176	1.393799	1.323486
2.751000	1.308105	1.237793	1.318359
2.752000	1.305176	1.220947	1.308838
2.752000	1.308838	1.389404	1.321289
2.788000	1.313965	1.354248	1.316162
2.788000	1.324219	1.415039	1.296387
2.789000	1.326416	1.340332	1.281006
2.790000	1.303711	1.275146	1.281738
2.792000	1.308105	1.334473	1.250244
2.796000	1.287598	1.324951	1.370361
2.796000	1.314697	1.283936	1.341797
2.796000	1.312500	1.261963	1.286133
2.797000	1.323486	1.450928	1.299316
2.797000	1.313232	1.423828	1.367432
2.798000	1.290527	1.169678	1.300049
2.798000	1.319092	1.223145	1.306641
2.798000	1.309570	1.330078	1.311768
2.799000	1.317627	1.386475	1.255371
2.799000	1.307373	1.291992	1.328613
2.800000	1.306641	1.287598	1.287598
2.801000	1.295654	1.288330	1.327881
2.801000	1.324219	1.355713	1.302246
2.801000	1.340332	1.351318	1.349121
2.802000	1.293457	1.341064	1.298584
2.802000	1.321289	1.278809	1.273682
2.803000	1.339600	1.305176	1.319092
2.803000	1.319824	1.352783	1.297119
2.803000	1.330811	1.371826	1.328613
2.804000	1.297119	1.267090	1.300049
2.837000	1.299316	1.294922	1.256836
2.838000	1.318359	1.327148	1.310303
2.839000	1.327148	1.285400	1.346191
2.839000	1.324219	1.340332	1.323486
2.840000	1.327881	1.265625	1.312500
2.841000	1.308838	1.322754	1.275879
2.841000	1.297852	1.430420	1.332275
2.842000	1.302979	1.375488	1.281738
2.843000	1.319092	1.304443	1.260498
2.843000	1.300781	1.270752	1.307373
2.844000	1.244385	1.245117	1.267822
2.844000	1.291260	1.331543	1.371826
2.845000	1.316895	1.272949	1.306641
2.846000	1.297852	1.326416	1.355713
2.846000	1.311035	1.312500	1.292725
2.847000	1.304443	1.317627	1.256104
2.848000	1.311768	1.305908	1.308838
2.848000	1.309570	1.341797	1.334473
2.849000	1.310303	1.327881	1.425293
2.850000	1.311768	1.319824	1.297119
2.850000	1.301514	1.372559	1.331543
2.851000	1.319092	1.372559	1.302246
2.851000	1.297852	1.270020	1.307373
2.852000	1.313965	1.286133	1.318359
2.858000	1.327148	1.261230	1.302246
2.887000	1.315430	1.381348	1.305908
2.888000	1.308838	1.322021	1.289795
2.889000	1.311768	1.281006	1.291992
2.889000	1.308105	1.330078	1.289062
2.890000	1.307373	1.329346	1.378418
2.890000	1.305908	1.330078	1.283936
2.891000	1.324219	1.337402	1.289062
2.892000	1.315430	1.392334	1.323486
2.892000	1.327148	1.234131	1.296387
2.893000	1.305176	1.237061	1.318359
2.894000	1.308838	1.428955	1.300049
2.894000	1.294189	1.350586	1.313232
2.894000	1.350586	1.252441	1.286133
2.895000	1.340332	1.314697	1.233398
2.895000	1.294189	1.261230	1.487549
2.896000	1.302979	1.362305	1.357910
2.897000	1.313965	1.344727	1.323486
2.899000	1.309570	1.337402	1.305176
2.904000	1.305908	1.389404	1.328613
2.905000	1.302979	1.308105	1.296387
2.905000	1.304443	1.317627	1.342529
2.905000	1.318359	1.311768	1.329346
2.906000	1.301514	1.259033	1.299316
2.906000	1.317627	1.285400	1.253174
2.907000	1.311768	1.339600	1.297119
2.937000	1.274414	1.297119	1.286133
2.938000	1.326416	1.395996	1.338867
2.938000	1.326416	1.343262	1.309570
2.939000	1.303711	1.333008	1.340332
2.940000	1.309570	1.304443	1.256836
2.940000	1.305908	1.370361	1.313232
2.941000	1.298584	1.327881	1.114746
