WL,WINC,win_per_trial,train_acc,test_acc,note
120,36,11,76.5625,76.70454545454545,OK
120,41,11,70.88068127632141,79.54545454545455,OK
120,46,9,78.81944179534912,79.86111111111111,OK
120,51,8,77.1484375,77.34375,OK
120,56,7,77.23214030265808,73.21428571428571,OK
120,61,8,67.3828125,73.4375,OK
120,66,7,68.30357313156128,76.78571428571429,OK
120,71,7,66.07142686843872,75.89285714285714,OK
120,76,6,76.30208134651184,75.0,OK
120,81,6,68.22916865348816,77.08333333333334,OK
120,86,5,80.9374988079071,78.75,OK
120,91,5,78.125,78.75,OK
120,96,5,63.43749761581421,75.0,OK
140,1,361,79.6052634716034,78.18559556786704,OK
140,6,61,79.63626980781555,77.97131147540983,OK
140,11,34,76.65441036224365,77.94117647058823,OK
140,16,24,75.9765625,77.86458333333334,OK
140,21,18,78.73263955116272,78.47222222222221,OK
140,26,15,73.4375,76.66666666666667,OK
140,31,13,72.47596383094788,74.03846153846155,OK
140,36,11,79.26136255264282,76.13636363636364,OK
140,41,10,71.71875238418579,76.25,OK
140,46,8,80.078125,80.46875,OK
140,51,8,78.7109375,78.125,OK
140,56,7,80.80357313156128,77.67857142857143,OK
140,61,7,68.52678656578064,75.89285714285714,OK
140,66,6,80.72916865348816,78.125,OK
140,71,7,68.75,74.10714285714286,OK
140,76,6,67.1875,78.125,OK
140,81,6,68.75,77.08333333333334,OK
140,86,5,80.31250238418579,76.25,OK
140,91,5,63.43749761581421,73.75,OK
140,96,5,64.68750238418579,75.0,OK
160,1,341,79.96701002120972,78.70234604105572,OK
160,6,58,78.69073152542114,78.77155172413794,OK
160,11,32,77.685546875,80.46875,OK
160,16,22,79.75852489471436,78.97727272727273,OK
160,21,17,79.5036792755127,78.30882352941177,OK
160,26,14,80.35714030265808,78.57142857142857,OK
160,31,12,73.046875,78.64583333333334,OK
160,36,10,79.6875,79.375,OK
160,41,10,71.24999761581421,78.75,OK
160,46,8,79.6875,80.46875,OK
160,51,7,78.79464030265808,77.67857142857143,OK
160,56,7,78.79464030265808,76.78571428571429,OK
160,61,7,68.30357313156128,75.89285714285714,OK
160,66,6,80.20833134651184,77.08333333333334,OK
160,71,6,67.44791865348816,77.08333333333334,OK
160,76,5,79.3749988079071,80.0,OK
160,81,6,66.66666865348816,76.04166666666666,OK
160,86,5,64.0625,73.75,OK
160,91,5,63.749998807907104,75.0,OK
160,96,5,64.3750011920929,75.0,OK
180,1,321,81.7416250705719,79.67289719626169,OK
180,6,54,81.8865716457367,79.51388888888889,OK
180,11,30,81.7187488079071,79.79166666666667,OK
180,16,21,81.77083134651184,78.27380952380952,OK
180,21,16,81.54296875,79.6875,OK
180,26,14,75.89285969734192,77.67857142857143,OK
180,31,12,74.47916865348816,76.04166666666666,OK
180,36,9,80.20833134651184,81.25,OK
180,41,9,71.875,78.47222222222221,OK
180,46,8,71.2890625,75.0,OK
180,51,7,81.02678656578064,78.57142857142857,OK
180,56,6,79.6875,80.20833333333334,OK
180,61,7,70.3125,74.10714285714286,OK
180,66,6,66.14583134651184,75.0,OK
180,71,6,66.92708134651184,76.04166666666666,OK
180,76,5,80.31250238418579,80.0,OK
180,81,5,64.68750238418579,77.5,OK
180,86,4,81.25,79.6875,OK
180,91,5,64.68750238418579,72.5,OK
180,96,5,64.0625,75.0,OK
200,1,301,82.8125,80.21179401993356,OK
200,6,51,82.65931606292725,81.12745098039215,OK
200,11,28,82.421875,80.13392857142857,OK
200,16,20,77.96875238418579,77.1875,OK
200,21,15,82.29166865348816,81.25,OK
200,26,13,75.60096383094788,76.92307692307693,OK
200,31,11,74.85795617103577,77.27272727272727,OK
200,36,9,82.63888955116272,79.86111111111111,OK
200,41,9,72.56944179534912,77.77777777777779,OK
200,46,7,80.58035969734192,80.35714285714286,OK
200,51,7,70.75892686843872,77.67857142857143,OK
200,56,6,83.33333134651184,81.25,OK
200,61,6,69.27083134651184,76.04166666666666,OK
200,66,5,82.18749761581421,81.25,OK
200,71,6,67.96875,73.95833333333334,OK
200,76,5,66.56249761581421,77.5,OK
200,81,5,67.1875,77.5,OK
200,86,4,84.375,82.8125,OK
200,91,4,82.8125,81.25,OK
200,96,4,81.640625,79.6875,OK
220,1,281,84.0636134147644,81.18327402135232,OK
220,6,48,82.38932490348816,81.11979166666666,OK
220,11,26,83.41346383094788,81.73076923076923,OK
220,16,19,79.02960777282715,80.26315789473685,OK
220,21,14,83.59375,82.14285714285714,OK
220,26,12,75.91145634651184,78.64583333333334,OK
220,31,10,83.59375,81.25,OK
220,36,8,82.6171875,81.25,OK
220,41,8,72.65625,78.90625,OK
220,46,7,83.25892686843872,81.25,OK
220,51,6,84.375,81.25,OK
220,56,6,83.07291865348816,82.29166666666666,OK
220,61,6,69.01041865348816,77.08333333333334,OK
220,66,5,82.18749761581421,81.25,OK
220,71,5,66.8749988079071,76.25,OK
220,76,5,66.25000238418579,77.5,OK
220,81,5,66.25000238418579,77.5,OK
220,86,4,82.421875,81.25,OK
220,91,4,80.859375,81.25,OK
220,96,4,61.328125,76.5625,OK
240,1,261,85.43462753295898,81.4176245210728,OK
240,6,44,85.33380627632141,81.5340909090909,OK
240,11,25,82.06250071525574,81.75,OK
240,16,17,85.11029481887817,81.61764705882352,OK
240,21,13,85.09615659713745,82.6923076923077,OK
240,26,11,84.23295617103577,82.38636363636364,OK
240,31,10,76.0937511920929,80.0,OK
240,36,8,84.9609375,80.46875,OK
240,41,8,74.21875,78.90625,OK
240,46,6,85.41666865348816,81.25,OK
240,51,6,83.85416865348816,81.25,OK
240,56,5,85.00000238418579,76.25,OK
240,61,6,68.22916865348816,76.04166666666666,OK
240,66,5,65.625,76.25,OK
240,71,5,64.68750238418579,76.25,OK
240,76,4,85.546875,82.8125,OK
240,81,5,65.9375011920929,75.0,OK
240,86,4,83.984375,79.6875,OK
240,91,4,62.5,75.0,OK
240,96,4,60.546875,75.0,OK
260,1,241,86.83220744132996,81.2759336099585,OK
260,6,41,86.50914430618286,80.79268292682927,OK
260,11,23,82.201087474823,82.06521739130434,OK
260,16,16,87.109375,81.25,OK
260,21,12,86.19791865348816,82.29166666666666,OK
260,26,10,86.09374761581421,81.25,OK
260,31,9,74.82638955116272,79.16666666666666,OK
260,36,7,86.83035969734192,80.35714285714286,OK
260,41,7,72.32142686843872,78.57142857142857,OK
260,46,6,86.19791865348816,84.375,OK
260,51,5,84.6875011920929,81.25,OK
260,56,5,87.1874988079071,83.75,OK
